Name,Value,Prop
Trae Young,46.5,Fantasy Score
Jaylen Brown,41.5,Fantasy Score
Dejounte Murray,39.5,Fantasy Score
Derrick White,30.5,Fantasy Score
De'Andre Hunter,23.5,Fantasy Score
Marcus Smart,27.5,Fantasy Score
Clint Capela,24.5,Fantasy Score
Malcolm Brogdon,24.5,Fantasy Score
Jaylen Brown,2.5,3-PT Made
Malcolm Brogdon,1.5,3-PT Made
Jayson Tatum + Jaylen Brown,6.0,3-PT Made
Trae Young + Dejounte Murray,5.0,3-PT Made
Trae Young + Bogdan Bogdanovic,5.0,3-PT Made
Trae Young + Jayson Tatum,5.5,3-PT Made
Devin Booker,2.5,3-PT Made
Michael Porter Jr.,2.5,3-PT Made
Chris Paul,1.5,3-PT Made
Aaron Gordon,0.5,3-PT Made
Jayson Tatum,40.5,Pts+Rebs
Trae Young,31.5,Pts+Rebs
Jaylen Brown,32.5,Pts+Rebs
Dejounte Murray,27.5,Pts+Rebs
Derrick White,19.5,Pts+Rebs
De'Andre Hunter,19.5,Pts+Rebs
Marcus Smart,15.5,Pts+Rebs
Clint Capela,18.5,Pts+Rebs
Malcolm Brogdon,16.5,Pts+Rebs
Bogdan Bogdanovic,14.5,Pts+Rebs
Al Horford,14.5,Pts+Rebs
John Collins,15.5,Pts+Rebs
Robert Williams III,16.5,Pts+Rebs
Onyeka Okongwu,13.0,Pts+Rebs
Saddiq Bey,12.5,Pts+Rebs
Devin Booker,35.5,Pts+Rebs
Nikola Jokic,37.5,Pts+Rebs
Kevin Durant,34.5,Pts+Rebs
Jamal Murray,27.5,Pts+Rebs
Deandre Ayton,25.5,Pts+Rebs
Michael Porter Jr.,23.5,Pts+Rebs
Chris Paul,18.5,Pts+Rebs
Aaron Gordon,20.5,Pts+Rebs
Kentavious Caldwell-Pope,12.5,Pts+Rebs
Jayson Tatum,1.5,Dunks
Jaylen Brown,1.0,Dunks
De'Andre Hunter,0.5,Dunks
Clint Capela,2.0,Dunks
John Collins,0.5,Dunks
Robert Williams III,2.0,Dunks
Jayson Tatum,22.5,FG Attempted
Trae Young,23.5,FG Attempted
Jaylen Brown,20.5,FG Attempted
Dejounte Murray,20.5,FG Attempted
Derrick White,12.5,FG Attempted
De'Andre Hunter,13.0,FG Attempted
Marcus Smart,11.0,FG Attempted
Clint Capela,6.5,FG Attempted
Bogdan Bogdanovic,8.5,FG Attempted
Al Horford,6.5,FG Attempted
John Collins,9.0,FG Attempted
Robert Williams III,5.5,FG Attempted
Jayson Tatum,2.0,Personal Fouls
Trae Young,1.5,Personal Fouls
Jaylen Brown,3.0,Personal Fouls
Dejounte Murray,1.5,Personal Fouls
Derrick White,2.0,Personal Fouls
Marcus Smart,2.5,Personal Fouls
Clint Capela,2.0,Personal Fouls
Al Horford,2.0,Personal Fouls
John Collins,2.5,Personal Fouls
Jayson Tatum,34.5,Pts+Asts
Trae Young,37.5,Pts+Asts
Jaylen Brown,30.5,Pts+Asts
Dejounte Murray,27.5,Pts+Asts
Derrick White,19.5,Pts+Asts
De'Andre Hunter,15.5,Pts+Asts
Marcus Smart,17.5,Pts+Asts
Malcolm Brogdon,16.5,Pts+Asts
Bogdan Bogdanovic,13.5,Pts+Asts
Al Horford,11.5,Pts+Asts
John Collins,12.5,Pts+Asts
Devin Booker,35.5,Pts+Asts
Nikola Jokic,34.5,Pts+Asts
Kevin Durant,32.5,Pts+Asts
Jamal Murray,29.5,Pts+Asts
Deandre Ayton,16.5,Pts+Asts
Michael Porter Jr.,18.5,Pts+Asts
Chris Paul,23.5,Pts+Asts
Aaron Gordon,16.5,Pts+Asts
Kentavious Caldwell-Pope,11.5,Pts+Asts
Jayson Tatum,14.5,Rebs+Asts
Trae Young,12.5,Rebs+Asts
Jaylen Brown,9.5,Rebs+Asts
Dejounte Murray,11.5,Rebs+Asts
Derrick White,8.5,Rebs+Asts
Marcus Smart,9.0,Rebs+Asts
Al Horford,9.5,Rebs+Asts
Robert Williams III,9.5,Rebs+Asts
Devin Booker,10.5,Rebs+Asts
Nikola Jokic,21.5,Rebs+Asts
Kevin Durant,12.5,Rebs+Asts
Jamal Murray,10.5,Rebs+Asts
Deandre Ayton,10.5,Rebs+Asts
Chris Paul,13.5,Rebs+Asts
Aaron Gordon,8.5,Rebs+Asts
Trae Young,6.5,Free Throws Made
Jayson Tatum,6.0,Free Throws Made
Dejounte Murray,2.0,Free Throws Made
Clint Capela,0.5,Free Throws Made
Derrick White,1.5,Free Throws Made
Saddiq Bey,0.5,Free Throws Made
Bogdan Bogdanovic,0.5,Free Throws Made
Robert Williams III,0.5,Free Throws Made
Trae Young,1.5,Blks+Stls
Jaylen Brown,1.5,Blks+Stls
Clint Capela,1.5,Blks+Stls
Saddiq Bey,0.5,Blks+Stls
Kentavious Caldwell-Pope,1.5,Blks+Stls
Jayson Tatum,0.5,Blocked Shots
John Collins,0.5,Blocked Shots
Nikola Jokic,0.5,Blocked Shots
Deandre Ayton,0.5,Blocked Shots
Derrick White,0.5,Steals
De'Andre Hunter,0.5,Steals
Marcus Smart,1.5,Steals
Clint Capela,0.5,Steals
Malcolm Brogdon,0.5,Steals
Robert Williams III,0.5,Steals
Devin Booker,1.5,Steals
Deandre Ayton,0.5,Steals
Michael Porter Jr.,0.5,Steals
Chris Paul,1.5,Steals
Nikola Jokic,3.5,Turnovers
Jamal Murray,2.5,Turnovers
